"","Continent","Country","Year","Status","Lifeexpectancy","Population","GDP"
"1","Asia","Afghanistan",2015,"Developing",65,33736494,584.25921
"2","Asia","Afghanistan",2014,"Developing",59.9,327582,612.696514
"3","Asia","Afghanistan",2013,"Developing",59.9,31731688,631.744976
"4","Asia","Afghanistan",2012,"Developing",59.5,3696958,669.959
"5","Asia","Afghanistan",2011,"Developing",59.2,2978599,63.537231
"6","Asia","Afghanistan",2010,"Developing",58.8,2883167,553.32894
"7","Asia","Afghanistan",2009,"Developing",58.6,284331,445.8932979
"8","Asia","Afghanistan",2008,"Developing",58.1,2729431,373.3611163
"9","Asia","Afghanistan",2007,"Developing",57.5,26616792,369.835796
"10","Asia","Afghanistan",2006,"Developing",57.3,2589345,272.56377
"11","Asia","Afghanistan",2005,"Developing",57.3,257798,25.2941299
"12","Asia","Afghanistan",2004,"Developing",57,24118979,219.1413528
"13","Asia","Afghanistan",2003,"Developing",56.7,2364851,198.7285436
"14","Asia","Afghanistan",2002,"Developing",56.2,21979923,187.84595
"15","Asia","Afghanistan",2001,"Developing",55.3,2966463,117.49698
"16","Asia","Afghanistan",2000,"Developing",54.8,293756,114.56
"17","Europe","Albania",2015,"Developing",77.8,28873,3954.22783
"18","Europe","Albania",2014,"Developing",77.5,288914,4575.763787
"19","Europe","Albania",2013,"Developing",77.2,289592,4414.72314
"20","Europe","Albania",2012,"Developing",76.9,2941,4247.61438
"21","Europe","Albania",2011,"Developing",76.6,295195,4437.17868
"22","Europe","Albania",2010,"Developing",76.2,291321,494.358832
"23","Europe","Albania",2009,"Developing",76.1,2927519,4114.136545
"24","Europe","Albania",2008,"Developing",75.3,2947314,437.539647
"25","Europe","Albania",2007,"Developing",75.9,29717,363.13685
"26","Europe","Albania",2006,"Developing",74.2,2992547,35.1293
"27","Europe","Albania",2005,"Developing",73.5,311487,279.142931
"28","Europe","Albania",2004,"Developing",73,326939,2416.588235
"29","Europe","Albania",2003,"Developing",72.8,339616,189.681557
"30","Europe","Albania",2002,"Developing",73.3,3511,1453.642777
"31","Europe","Albania",2001,"Developing",73.6,36173,1326.97339
"32","Europe","Albania",2000,"Developing",72.6,38927,1175.788981
"33","Africa","Algeria",2015,"Developing",75.6,39871528,4132.76292
"34","Africa","Algeria",2014,"Developing",75.4,39113313,547.8517
